seq	delay
1	0.302626
2	0.622482
3	0.480346
4	0.59165
5	0.4741
6	0.45639
7	0.37148
8	0.41269
9	0.43898
10	0.6411
11	0.3245
12	0.6234
13	0.6526
14	0.497
15	0.204
16	0.6248
17	0.6162
18	0.1727
19	0.1564
20	0.4389
21	0.1962
22	0.6422
23	0.1578
24	0.4885
25	0.3873
26	0.4289
27	0.4259
28	0.616
29	0.2997
30	0.5207
31	0.1856
32	0.5505
33	0.3728
34	0.321
35	0.4428
36	0.2978
37	0.3478
38	0.347
39	0.4538
40	0.4344
41	0.4847
42	0.4092
43	0.3139
44	0.206
45	0.467
46	0.3462
47	0.5441
48	0.3902
49	0.385
50	0.4818
51	0.5264
52	0.2888
53	0.5027
54	0.4415
55	0.5767
56	0.1682
57	0.3059
58	0.2959
59	0.2458
60	0.3056
61	0.6462
62	0.3987
63	0.4139
64	0.6457
65	0.4441
66	0.4063
67	0.5011
68	0.6008
69	0.3678
70	0.544
71	0.2392
72	0.5567
73	0.6134
74	0.5238
75	0.5644
76	0.2116
77	0.6023
78	0.583
79	0.6245
80	0.5495
81	0.3413
82	0.1529
83	0.3338
84	0.5771
85	0.355
86	0.1957
87	0.2857
88	0.4901
89	0.4509
90	0.2389
91	0.637
92	0.6425
93	0.5217
94	0.2871
95	0.3792
96	0.6406
97	0.6258
98	0.3259
99	0.3711
100	0.5556
