seq	C
1	0.300265
2	0.29886816
3	0.49152
4	0.286642
5	1.038994
6	0.32127
7	0.326082
8	0.245725
9	0.15182
10	1.04943
11	0.25958
12	0.16523
13	1.06962
14	0.26365
15	0.15026
16	0.15025
17	0.15025
18	0.15026
19	0.15026
20	0.15025
21	0.15026
22	0.15026
23	0.15025
24	0.15026
25	0.15026
26	0.15026
27	0.15025
28	0.15026
29	0.15025
30	0.15025
31	0.15025
32	0.15025
33	0.15025
34	0.15026
35	0.15025
36	0.15026
37	0.15026
38	0.15026
39	0.15026
40	0.15025
41	0.15025
42	1.02477
43	0.23662
44	0.28824
45	0.2684
46	0.15026
47	0.15025
48	0.15026
49	0.15025
50	0.15025
51	0.15025
52	0.15025
53	0.15026
54	0.15025
55	0.15026
56	0.15026
57	0.15025
58	0.15025
59	0.15025
60	0.49221
61	1.14721
62	0.21493
63	0.22871
64	0.26768
65	0.23289
66	0.19084
67	0.15026
68	0.15025
69	0.15025
70	0.15026
71	0.15026
72	0.15026
73	0.15025
74	0.15026
75	0.15025
76	0.15026
77	0.15025
78	0.15026
79	0.15025
80	0.15026
81	0.15026
82	0.15025
83	0.15026
84	0.15025
85	0.15025
86	0.15026
87	0.15026
88	0.15026
89	0.15025
90	0.15025
91	0.15026
92	0.15025
93	0.15025
94	0.15026
95	0.15026
96	0.15025
97	0.15025
98	0.15025
99	0.15025
100	0.15026
101	0.72073
102	0.19809
103	0.1503
104	0.1502
105	0.1502
106	0.1503
107	0.1503
108	0.1503
109	0.1502
110	0.1503
111	0.1503
112	0.1503
113	0.1502
114	0.1502
115	0.1503
116	0.1502
117	0.1502
118	0.1503
119	0.1502
120	0.1503
121	0.1503
122	0.1503
123	0.1503
124	0.1502
125	0.1502
126	0.1503
127	0.1503
128	0.1502
129	0.1502
130	0.1503
131	0.1503
132	0.1503
133	0.1502
134	0.1502
135	0.1502
136	0.1502
137	0.1502
138	0.1502
139	0.1503
140	0.1503
141	0.1503
142	0.1503
143	0.1503
144	0.1502
145	0.1502
146	0.1503
147	0.1502
148	0.1503
149	0.1502
150	0.9441
151	1.1065
152	0.1502
153	0.1503
154	0.1502
155	0.1503
156	0.1502
157	0.1503
158	0.1503
159	0.1503
160	0.1503
161	0.1503
162	0.1503
163	0.1503
164	0.1503
165	0.1502
166	0.1502
167	0.1503
168	0.1502
169	0.1503
170	0.1502
171	0.1502
172	0.1502
173	0.1503
174	0.1503
175	0.1503
176	0.1503
177	0.1503
178	0.1503
179	0.1502
180	0.1502
181	0.1503
182	0.1502
183	0.1503
184	0.1502
185	0.1502
186	0.1503
187	0.1502
188	0.1502
189	0.1503
190	0.1503
191	0.1502
192	0.1502
193	0.1502
194	0.1503
195	0.1502
196	0.1503
197	0.1502
198	0.1502
199	0.1502
200	0.1503
201	0.1502
202	0.1503
203	0.1502
204	0.1503
205	0.1502
206	0.1502
207	0.1503
208	0.1503
209	0.1502
210	0.1503
211	0.1502
212	0.1503
213	0.1502
214	0.1503
215	0.9457
216	0.1927
217	0.1953
218	0.2062
219	0.1502
220	0.1503
221	0.1502
222	0.1502
223	0.1503
224	0.1503
225	0.1503
226	0.1502
227	0.1503
228	0.1502
229	0.1502
230	0.1502
231	0.1502
232	0.1502
233	1.0508
234	0.2475
235	0.1503
236	0.1502
237	0.1502
238	0.1503
239	0.1503
240	0.1503
241	0.1503
242	0.1502
243	0.1503
244	0.1503
245	0.1503
246	0.1503
247	0.1502
248	0.1503
249	0.1502
250	0.1503
251	0.1503
252	0.1503
253	0.1503
254	0.1502
255	0.1503
256	0.1503
257	0.1503
258	0.1503
259	0.6853
260	0.2394
261	0.2533
262	0.2731
263	0.4202
264	0.3276
265	0.173
266	0.1503
267	0.1503
268	0.1503
269	0.1503
270	0.1503
271	0.1503
272	0.1503
273	0.1503
274	0.1502
275	0.1503
276	0.1503
277	0.1502
278	0.1502
279	0.4566
280	1.1051
281	1.1027
282	1.124
283	0.1502
284	0.1503
285	0.1503
286	0.1503
287	0.1502
288	0.1502
289	0.1503
290	0.1503
291	0.1503
292	0.1503
293	0.1502
294	0.1503
295	0.1503
296	0.1502
297	0.1503
298	0.1503
299	0.1503
300	0.1503
301	0.1502
302	0.1503
303	0.1503
304	0.1502
305	0.1502
306	0.1503
307	0.1503
308	0.1503
309	0.1503
310	0.1503
311	0.1503
312	0.1503
313	0.1503
314	0.1502
315	0.1503
316	0.1502
317	0.1502
318	0.1503
319	0.1503
320	0.1502
321	0.1503
322	0.1502
323	0.1503
324	0.1503
325	0.1502
326	0.1503
327	0.1503
328	0.1503
329	0.1502
330	0.1502
331	0.1502
332	0.1502
333	0.1503
334	0.1503
335	0.1502
336	1.1133
337	1.1387
338	0.1503
339	0.1502
340	0.1503
341	0.1502
342	0.1502
343	0.9874
344	0.1503
345	0.1503
346	0.1503
347	0.1503
348	0.1503
349	0.1503
350	0.1502
351	0.1503
352	0.1503
353	0.1503
354	0.1502
355	0.1503
356	0.1503
357	0.1502
358	0.1503
359	0.1502
360	0.1502
361	0.1503
362	0.1502
363	0.1503
364	0.1503
365	0.1502
366	0.1502
367	0.1502
368	0.1503
369	0.1503
370	0.1502
371	0.1502
372	0.1502
373	0.1502
374	0.1503
375	0.1503
376	0.1502
377	0.1502
378	0.1502
379	0.1503
380	0.1502
381	0.1503
382	0.1503
383	0.1502
384	0.1503
385	0.1502
386	0.1502
387	0.1503
388	0.1503
389	0.1502
390	0.1502
391	0.1503
392	0.1502
393	1.0583
394	0.1678
