seq	C1	C2	C3	C4	C5	C6	C7	C8
1	0.600282	0.600282	0.600282	0.600282	22.6003	22.6003	22.6003	22.6003
2	0.5510575	0.5510575	0.5510575	0.5510575	22.5510895	22.5510895	22.5510895	22.5510895
3	2.107208	2.107208	3.207298	3.207298	22.207518	22.207518	23.107218	23.107218
4	1.879405	1.079665	1.979575	1.979575	22.079795	22.079795	22.079795	22.079795
5	1.852553	1.052813	1.952723	1.952723	22.052963	22.052963	22.952663	22.952663
6	1.746363	0.946623	1.846533	1.846533	21.946783	21.946783	21.946783	22.746183
7	1.647481	0.847741	1.747661	1.747661	21.847921	21.847921	21.847921	21.847921
8	1.620981	1.620641	1.721151	1.721151	21.821431	21.821431	21.821431	21.821431
9	1.35157	0.55182	1.45174	1.45174	21.55203	21.55203	21.55203	21.55203
10	1.28844	0.4887	1.38861	1.38861	21.48892	21.48892	21.48892	21.48892
11	1.27074	0.471	1.37091	3.47031	21.47113	21.47113	21.47113	21.47113
12	1.29995	1.29995	1.29995	1.29995	21.30086	21.30086	21.30086	21.30086
13	2.01424	1.2145	1.2145	1.2145	22.11433	22.11433	21.21543	21.21543
14	1.18283	1.18283	1.18283	1.18283	21.98247	21.18377	21.18377	21.18377
15	1.13883	1.13883	1.13883	1.13883	21.13979	21.13979	21.13979	21.13979
16	2.02682	2.02682	1.12726	1.12726	21.12823	21.12823	21.12823	21.12823
17	1.00664	1.00664	1.90613	1.90613	21.00753	21.00753	21.00753	21.00753
18	0.97825	0.97825	0.97825	0.97825	20.97915	20.97915	20.97915	20.97915
19	0.9511	0.9511	0.9511	0.9511	20.95201	20.95201	20.95201	20.95201
20	1.82616	1.82616	1.82616	1.82616	20.92778	20.92778	20.92778	20.92778
21	0.81888	0.81888	0.81888	0.81888	20.81991	20.81991	20.81991	20.81991
22	1.6479	1.6479	0.74919	0.74919	21.74784	21.74784	21.74784	21.74784
23	0.70471	1.50376	0.70471	0.70471	22.60385	22.60385	21.70415	21.70415
24	1.48701	0.68796	1.58719	1.58719	21.68722	21.68722	21.68722	21.68722
25	1.43402	0.63497	1.53419	1.53419	21.63424	21.63424	21.63424	22.43384
26	1.38079	0.58174	1.48097	1.48097	21.58103	21.58103	21.58103	21.58103
27	1.34311	0.54406	1.44328	1.44328	21.54336	21.54336	21.54336	21.54336
28	1.26453	0.46557	1.36471	1.36471	21.4648	21.4648	21.4648	21.4648
29	1.34813	1.34813	1.34813	1.34813	21.34866	21.34866	21.34866	21.34866
30	1.34462	1.34462	1.34462	1.34462	21.34517	21.34517	21.34517	21.34517
31	1.31186	1.31186	1.31186	1.31186	21.31242	21.31242	21.31242	21.31242
32	2.03882	2.03882	2.03882	2.03882	21.03955	21.03955	21.03955	21.03955
33	1.82652	1.02712	1.02712	1.02712	21.02761	21.02761	21.02761	21.02761
34	0.83619	0.83619	0.83619	0.83619	20.8367	20.8367	20.8367	20.8367
35	0.77208	0.77208	0.77208	0.77208	20.7726	20.7726	20.7726	20.7726
36	0.68326	0.68326	0.68326	0.68326	20.68379	20.68379	20.68379	20.68379
37	0.45262	0.45262	0.45262	0.45262	20.45317	20.45317	20.45317	20.45317
38	2.03248	2.03248	2.03248	2.03248	20.9325	20.9325	20.0339	20.0339
