seq	delay
1	 
2	 
3	 
4	0.152551
5	0.152551
6	0.152552
7	0.152551
8	0.152551
9	0.152551
10	0.152555
11	0.15256
12	0.15255
13	0.15256
14	0.15255
15	0.15255
16	0.15255
17	0.15255
18	0.15255
19	0.15255
20	0.15255
21	0.15255
22	0.15255
23	0.15256
24	0.15255
25	0.15255
26	0.15255
27	0.15255
28	0.15255
29	0.15255
30	0.15255
31	0.15255
32	0.15255
33	0.15255
34	0.15255
35	0.15255
36	0.15255
37	0.15255
38	0.15323
39	0.15255
40	0.15255
41	0.15255
42	0.15255
43	0.15255
44	0.15255
45	0.15255
46	0.15256
47	0.15255
48	0.15255
49	0.15296
50	0.15255
51	0.15255
52	0.15255
53	0.15255
54	0.15255
55	0.15255
56	0.15255
57	0.15256
58	0.15255
59	0.15255
60	0.15255
61	0.15255
62	0.15256
63	0.15255
64	0.15255
65	0.15306
66	0.15255
67	0.15255
68	0.15256
69	0.15255
70	0.15255
71	0.15255
72	0.15255
73	0.15255
74	0.15255
75	0.15256
76	0.15255
77	0.15255
78	0.15255
79	0.15256
80	0.15255
81	0.15255
82	0.15256
83	0.15255
84	0.15255
85	0.15256
86	0.15255
87	0.15255
88	0.15255
89	0.15255
90	0.15255
91	0.15255
92	0.15255
93	0.15255
94	0.15255
95	0.15255
96	0.15255
97	0.15255
98	0.15255
99	0.15255
100	0.15255
