seq	delay
1	0.60005
2	0.15
3	0.15
4	0.15
5	0.15
6	0.15
7	0.15
8	0.15
9	0.15
10	0.15
11	0.15
12	0.15
13	0.15
14	0.15
15	0.15
16	0.15
17	0.15
18	0.15
19	0.15
20	0.15
21	0.15
22	0.15
23	0.15
24	0.15
25	0.15
26	0.15
27	0.15
28	0.15
29	0.15
30	0.15
31	0.15
32	0.15
33	0.15
34	0.15
35	0.15
36	0.15
37	0.15
38	0.15
39	0.15
40	0.15
41	0.15
42	0.15
43	0.15
44	0.15
45	0.15
46	0.15
47	0.15
48	0.15
49	0.15
50	0.15
51	0.15
52	0.15
53	0.15
54	0.15
55	0.15
56	0.15
57	0.15
58	0.15
59	0.15
60	0.15
61	0.15
62	0.15
63	0.15
64	0.15
65	0.15
66	0.15
67	0.15
68	0.15
69	0.15
70	0.15
71	0.15
72	0.15
73	0.15
74	0.15
75	0.15
76	0.15
77	0.15
78	0.15
79	0.15
80	0.15
81	0.15
82	0.15
83	0.15
84	0.15
85	0.15
86	0.15
87	0.15
88	0.15
89	0.15
90	0.15
91	0.15
92	0.15
93	0.15
94	0.15
95	0.15
96	0.15
97	0.15
98	0.15
99	0.15
100	0.15
101	0.15
102	0.15
103	0.15
104	0.15
105	0.15
106	0.15
107	0.15
108	0.15
109	0.15
110	0.15
111	0.15
112	0.15
113	0.15
114	0.15
115	0.15
116	0.15
117	0.15
118	0.15
119	0.15
120	0.15
121	0.15
122	0.15
123	0.15
124	0.15
125	0.15
126	0.15
127	0.15
128	0.15
129	0.15
130	0.15
131	0.15
132	0.15
133	0.15
134	0.15
135	0.15
136	0.15
137	0.15
138	0.15
139	0.15
140	0.15
141	0.15
142	0.15
143	0.15
144	0.15
145	0.15
146	0.15
147	0.15
148	0.15
149	0.15
150	0.15
151	0.15
152	0.15
153	0.15
154	0.15
155	0.15
156	0.15
157	0.15
158	0.15
159	0.15
160	0.15
161	0.15
162	0.15
163	0.15
164	0.15
165	0.15
166	0.15
167	0.15
168	0.15
169	0.15
170	0.15
171	0.15
172	0.15
173	0.15
174	0.15
175	0.15
176	0.15
177	0.15
178	0.15
179	0.15
180	0.15
181	0.15
182	0.15
183	0.15
184	0.15
185	0.15
186	0.15
187	0.15
188	0.15
189	0.15
190	0.15
191	0.15
192	0.15
193	0.15
194	0.15
195	0.15
196	0.15
197	0.15
198	0.15
199	0.15
200	0.15
201	0.15
202	0.15
203	0.15
204	0.15
205	0.15
206	0.15
207	0.15
208	0.15
209	0.15
210	0.15
211	0.15
212	0.15
213	0.15
214	0.15
215	0.15
216	0.15
217	0.15
218	0.15
219	0.15
