seq	delay
1	0.60005
2	25.6
3	17.6
4	15.6
5	38.6
6	36.6
7	33.6
8	11.6
9	8.6
10	35.6
11	31.6
12	30.6
13	15.6
14	13.6
15	35.6
16	18.6
17	17.6
18	22.6
19	21.6
20	9.6
21	7.6
22	6.6
23	4.6
24	1.6
25	0.6
26	29.6
27	32.6
28	28.6
29	7.6
30	5.6
31	30.6
32	27.6
33	23.6
34	20.6
35	14.6
36	28.6
37	36.6
38	29.6
39	28.6
40	31.6
41	36.6
42	28.6
43	18.6
44	23.6
45	15.6
46	21.6
47	20.6
48	18.6
49	39.6
50	38.6
51	18.6
52	16.6
53	3.6
54	35.6
55	13.6
56	12.6
57	9.6
58	34.6
59	32.6
60	0.6
61	30.6
62	27.6
63	0.6
64	6.6
65	5.6
66	12.6
67	36.6
68	30.6
69	24.6
70	39.6
71	37.6
72	36.6
73	7.6
74	10.6
75	38.6
76	21.6
77	21.6
78	29.6
79	19.6
80	6.6
81	33.6
82	30.6
83	11.6
84	8.6
85	7.6
86	6.6
87	1.6
88	28.6
89	16.6
90	30.6
91	31.6
92	39.6
93	38.6
94	23.6
95	26.6
96	20.6
97	12.6
98	37.6
99	12.6
100	11.6
101	35.6
102	31.6
103	28.6
104	26.6
105	18.6
106	11.6
107	10.6
108	9.6
109	8.6
110	7.6
111	5.6
112	3.6
113	0.6
114	32.6
115	30.6
116	29.6
117	5.6
118	0.6
119	16.6
120	14.6
121	11.6
122	10.6
123	8.6
124	1.6
125	11.6
126	7.6
127	33.6
128	3.6
129	0.6
130	15.6
131	32.6
132	28.6
133	24.6
134	14.6
135	6.6
136	5.6
137	3.6
138	28.6
139	20.6
140	18.6
141	22.6
142	35.6
143	31.6
144	23.6
145	24.6
146	22.6
147	9.6
148	4.6
149	31.6
150	29.6
151	14.6
152	13.6
153	6.6
154	4.6
155	3.6
156	38.6
157	35.6
158	34.6
159	18.6
160	11.6
161	9.6
162	7.6
163	3.6
164	0.6
165	26.6
166	20.6
167	19.6
168	6.6
169	3.6
170	2.6
171	35.6
172	26.6
173	39.6
174	19.6
175	13.6
176	11.6
177	7.6
178	6.6
179	4.6
180	3.6
181	27.6
182	11.6
183	35.6
184	37.6
185	34.6
186	31.6
187	32.6
188	8.6
189	27.6
190	25.6
191	7.6
192	14.6
193	12.6
194	29.6
195	16.6
196	28.6
197	16.6
198	2.6
199	26.6
200	24.6
201	15.6
202	11.6
203	30.6
204	3.6
205	29.6
206	17.6
207	28.6
208	23.6
209	14.6
210	12.6
211	8.6
212	37.6
213	33.6
214	24.6
215	23.6
216	21.6
217	35.6
218	33.6
219	33.6
220	31.6
221	11.6
222	9.6
223	25.6
224	23.6
225	25.6
226	22.6
227	21.6
228	27.6
229	25.6
230	22.6
231	32.6
232	31.6
233	29.6
234	26.6
235	16.6
236	3.6
237	39.6
238	30.6
239	29.6
240	22.6
241	21.6
242	14.6
243	12.6
244	39.6
245	24.6
246	33.6
247	32.6
248	22.6
249	14.6
250	10.6
251	8.6
252	2.6
253	1.6
254	25.6
255	24.6
256	18.6
257	15.6
258	4.6
259	1.6
260	0.6
261	39.6
262	35.6
263	34.6
264	30.6
265	20.6
266	15.6
267	14.6
268	12.6
269	34.6
270	19.6
271	17.6
272	10.6
273	7.6
274	6.6
275	5.6
276	4.6
277	3.6
278	1.6
279	39.6
280	36.6
281	33.6
282	31.6
283	29.6
284	27.6
285	23.6
286	18.6
287	2.6
288	0.6
289	13.6
290	29.6
291	28.6
292	6.6
293	4.6
294	2.6
295	1.6
296	35.6
297	32.6
298	22.6
299	18.6
300	14.6
301	3.6
302	37.6
303	31.6
304	28.6
305	27.6
306	24.6
307	23.6
308	16.6
309	14.6
310	13.6
311	11.6
312	9.6
313	5.6
314	4.6
315	33.6
316	32.6
317	25.6
318	17.6
319	3.6
320	2.6
321	1.6
322	0.6
323	38.6
324	36.6
325	25.6
326	22.6
327	17.6
328	16.6
329	14.6
330	7.6
331	6.6
332	3.6
333	1.6
334	37.6
335	35.6
336	30.6
337	22.6
338	21.6
339	10.6
340	9.6
341	7.6
342	3.6
343	38.6
344	35.6
345	28.6
346	26.6
347	39.6
348	38.6
349	27.6
350	22.6
351	20.6
352	5.6
353	2.6
354	34.6
355	32.6
356	31.6
357	25.6
358	10.6
359	3.6
360	0.6
361	38.6
362	37.6
363	33.6
364	29.6
365	23.6
366	12.6
367	9.6
368	23.6
369	18.6
370	17.6
371	9.6
372	7.6
373	39.6
374	34.6
375	24.6
376	22.6
377	20.6
378	29.6
379	26.6
380	17.6
381	16.6
382	39.6
383	36.6
384	35.6
385	30.6
386	27.6
387	24.6
388	22.6
389	17.6
390	14.6
391	12.6
392	9.6
393	6.6
394	5.6
395	1.6
396	25.6
397	21.6
398	20.6
399	19.6
400	17.6
401	13.6
402	4.6
403	3.6
404	0.6
405	38.6
406	37.6
407	34.6
408	33.6
409	29.6
410	28.6
411	26.6
412	24.6
413	23.6
414	21.6
415	20.6
416	8.6
417	5.6
418	4.6
419	1.6
420	39.6
421	33.6
422	32.6
423	29.6
424	23.6
425	21.6
426	20.6
427	19.6
428	18.6
429	16.6
430	6.6
431	3.6
432	39.6
433	37.6
434	32.6
435	23.6
