seq	delay
1	0.300033
2	0.3
3	0.3
4	0.6
5	0.6
6	0.6
7	0.4
8	0.4
9	0.4
10	0.2
11	0.2
12	0.2
13	0.5
14	0.5
15	0.5
16	0.3
17	0.3
18	0.3
19	0.6
20	0.6
21	0.6
22	0.4
23	0.4
24	0.4
25	0.2
26	0.2
27	0.2
28	0.5
29	0.5
30	0.5
31	0.3
32	0.3
33	0.3
34	0.6
35	0.6
36	0.6
37	0.4
38	0.4
39	0.4
40	0.2
41	0.2
42	0.2
43	0.5
44	0.5
45	0.5
46	0.3
47	0.3
48	0.3
49	0.6
50	0.6
51	0.6
52	0.4
53	0.4
54	0.4
55	0.2
56	0.2
57	0.2
58	0.5
59	0.5
60	0.5
61	0.3
62	0.3
63	0.3
64	0.6
65	0.6
66	0.6
67	0.4
68	0.4
69	0.4
70	0.2
71	0.2
72	0.2
73	0.5
74	0.5
75	0.5
76	0.3
77	0.3
78	0.3
79	0.6
80	0.6
81	0.6
82	0.4
83	0.4
84	0.4
85	0.2
86	0.2
87	0.2
88	0.5
89	0.5
90	0.5
91	0.3
92	0.3
93	0.3
94	0.6
95	0.6
96	0.6
97	0.4
98	0.4
99	0.4
100	0.2
101	0.2
102	0.2
103	0.5
104	0.5
105	0.5
106	0.3
107	0.3
108	0.3
109	0.6
110	0.6
111	0.6
112	0.4
113	0.4
114	0.4
115	0.2
116	0.2
117	0.2
118	0.5
119	0.5
120	0.5
121	0.3
122	0.3
123	0.3
124	0.6
125	0.6
126	0.6
127	0.4
128	0.4
129	0.4
130	0.2
131	0.2
132	0.2
133	0.5
134	0.5
135	0.5
136	0.3
137	0.3
138	0.3
139	0.6
140	0.6
141	0.6
142	0.4
143	0.4
144	0.4
145	0.2
146	0.2
147	0.2
148	0.5
149	0.5
150	0.5
151	0.3
152	0.3
153	0.3
154	0.6
155	0.6
156	0.6
157	0.4
158	0.4
159	0.4
160	0.2
161	0.2
162	0.2
163	0.5
164	0.5
165	0.5
166	0.3
167	0.3
168	0.3
169	0.6
170	0.6
171	0.6
172	0.4
173	0.4
174	0.4
175	0.2
176	0.2
177	0.2
178	0.5
179	0.5
180	0.5
181	0.3
182	0.3
183	0.3
184	0.6
185	0.6
186	0.6
187	0.4
188	0.4
189	0.4
190	0.2
191	0.2
192	0.2
193	0.5
194	0.5
195	0.5
196	0.3
197	0.3
198	0.3
199	0.6
200	0.6
201	0.6
202	0.4
203	0.4
204	0.4
205	0.2
206	0.2
207	0.2
208	0.5
209	0.5
210	0.5
211	0.3
212	0.3
213	0.3
214	0.6
215	0.6
216	0.6
217	0.4
218	0.4
219	0.4
220	0.2
221	0.2
222	0.2
223	0.5
224	0.5
225	0.5
226	0.3
227	0.3
228	0.3
229	0.6
230	0.6
231	0.6
232	0.4
233	0.4
234	0.4
235	0.2
236	0.2
237	0.2
238	0.5
239	0.5
240	0.5
241	0.3
242	0.3
243	0.3
244	0.6
245	0.6
246	0.6
247	0.4
248	0.4
249	0.4
250	0.2
251	0.2
252	0.2
253	0.5
254	0.5
255	0.5
256	0.3
257	0.3
258	0.3
259	0.6
260	0.6
261	0.6
262	0.4
263	0.4
264	0.4
265	0.2
266	0.2
267	0.2
268	0.5
269	0.5
270	0.5
271	0.3
272	0.3
273	0.3
274	0.6
275	0.6
276	0.6
277	0.4
278	0.4
279	0.4
280	0.2
281	0.2
282	0.2
283	0.5
284	0.5
285	0.5
286	0.3
287	0.3
288	0.3
289	0.6
290	0.6
291	0.6
292	0.4
293	0.4
294	0.4
295	0.2
296	0.2
297	0.2
298	0.5
299	0.5
300	0.5
301	0.3
302	0.3
303	0.3
304	0.6
305	0.6
306	0.6
307	0.4
308	0.4
309	0.4
310	0.2
311	0.2
312	0.2
313	0.5
314	0.5
315	0.5
316	0.3
317	0.3
318	0.3
319	0.6
320	0.6
321	0.6
322	0.4
323	0.4
324	0.4
325	0.2
326	0.2
327	0.2
328	0.5
329	0.5
330	0.5
331	0.3
332	0.3
333	0.3
334	0.6
335	0.6
336	0.6
337	0.4
338	0.4
339	0.4
340	0.2
341	0.2
342	0.2
343	0.5
344	0.5
345	0.5
346	0.3
347	0.3
348	0.3
349	0.6
350	0.6
351	0.6
352	0.4
353	0.4
354	0.4
355	0.2
356	0.2
357	0.2
358	0.5
359	0.5
360	0.5
361	0.3
362	0.3
363	0.3
364	0.6
365	0.6
366	0.6
367	0.4
368	0.4
369	0.4
370	0.2
371	0.2
372	0.2
373	0.5
374	0.5
375	0.5
376	0.3
377	0.3
378	0.3
379	0.6
380	0.6
381	0.6
382	0.4
383	0.4
384	0.4
385	0.2
386	0.2
387	0.2
388	0.5
389	0.5
390	0.5
391	0.3
392	0.3
393	0.3
394	0.6
395	0.6
396	0.6
397	0.4
398	0.4
399	0.4
400	0.2
401	0.2
402	0.2
403	0.5
404	0.5
405	0.5
406	0.3
407	0.3
408	0.3
409	0.6
410	0.6
411	0.6
412	0.4
413	0.4
414	0.4
415	0.2
416	0.2
417	0.2
418	0.5
419	0.5
420	0.5
421	0.3
422	0.3
423	0.3
424	0.6
425	0.6
426	0.6
427	0.4
428	0.4
429	0.4
430	0.2
431	0.2
432	0.2
433	0.5
434	0.5
435	0.5
436	0.3
437	0.3
438	0.3
439	0.6
440	0.6
441	0.6
442	0.4
443	0.4
444	0.4
445	0.2
446	0.2
447	0.2
448	0.5
449	0.5
450	0.5
451	0.3
452	0.3
453	0.3
454	0.6
455	0.6
456	0.6
457	0.4
458	0.4
