delay	CDF
0.1502	0.228
0.15025	0.252
0.150253	0.253
0.150256	0.26
0.15026	0.293
0.1503	0.588
0.1506	0.589
0.1511	0.59
0.1518	0.591
0.1522	0.592
0.1533	0.593
0.1537	0.594
0.1542	0.595
0.1543	0.596
0.1547	0.597
0.1551	0.598
0.1573	0.599
0.1576	0.6
0.1599	0.601
0.16	0.602
0.16004	0.603
0.1604	0.604
0.1605	0.605
0.16255	0.606
0.16274	0.607
0.1646	0.608
0.1661	0.609
0.1669	0.61
0.1681	0.611
0.1689	0.612
0.1701	0.613
0.1703	0.614
0.1711	0.615
0.1712	0.616
0.171306	0.617
0.1722	0.618
0.1727	0.619
0.1749	0.62
0.1755	0.621
0.1759	0.622
0.17764	0.623
0.1809	0.624
0.18516	0.625
0.1855	0.626
0.1856	0.627
0.1859	0.628
0.1864	0.629
0.1881	0.63
0.1886	0.631
0.1901	0.632
0.19035	0.633
0.1905	0.634
0.1911	0.636
0.192	0.637
0.1929	0.638
0.19299	0.639
0.19399	0.64
0.1967	0.641
0.1978	0.642
0.2001	0.643
0.2012	0.644
0.2014	0.645
0.2015	0.646
0.2025	0.647
0.2026	0.649
0.2066	0.65
0.2073	0.651
0.2073646	0.652
0.2077	0.653
0.2091	0.654
0.2095	0.655
0.21	0.656
0.2117	0.657
0.2123	0.658
0.2126	0.659
0.217	0.66
0.2172	0.661
0.2176	0.662
0.2178	0.663
0.222	0.664
0.2244	0.665
0.2277	0.666
0.2299	0.667
0.2302	0.668
0.2308	0.669
0.2312	0.67
0.2332	0.671
0.2358	0.672
0.2377	0.673
0.2396	0.674
0.2408	0.675
0.2409	0.676
0.2422	0.677
0.2441	0.678
0.2442	0.679
0.2447	0.68
0.2453	0.681
0.2501	0.683
0.250262	0.684
0.2516	0.685
0.25443	0.686
0.2552	0.687
0.2573	0.688
0.2622	0.689
0.2645	0.69
0.26459	0.691
0.2646	0.692
0.2684	0.693
0.2695	0.694
0.2697	0.695
0.2754	0.696
0.2763	0.697
0.2765	0.698
0.2815	0.699
0.284	0.7
0.2847	0.701
0.2853	0.703
0.2881	0.704
0.2896	0.705
0.2929	0.706
0.29398	0.707
0.29699	0.708
0.3011	0.709
0.30766	0.71
0.3077	0.711
0.308	0.712
0.3201	0.713
0.32126	0.714
0.3229	0.715
0.3257	0.716
0.3307	0.717
0.3308	0.718
0.3329	0.719
0.33425	0.72
0.33544	0.721
0.3364	0.722
0.3365	0.723
0.3408	0.724
0.3467	0.725
0.349	0.726
0.3541	0.727
0.3632	0.728
0.3649	0.729
0.3743	0.73
0.3784	0.731
0.3834	0.732
0.3843	0.733
0.3859	0.734
0.3914	0.735
0.3945	0.736
0.4067	0.737
0.4069	0.738
0.4127	0.739
0.4166	0.74
0.4241	0.741
0.4251	0.742
0.4308	0.743
0.432	0.744
0.4326	0.745
0.4436	0.746
0.4487	0.747
0.4501	0.748
0.4575	0.749
0.4711	0.75
0.4714	0.751
0.4719	0.752
0.4807	0.753
0.4826	0.754
0.5109	0.756
0.514	0.757
0.5164	0.758
0.5226	0.759
0.5274	0.76
0.5312	0.761
0.5366	0.762
0.5396	0.763
0.5416	0.764
0.5503	0.765
0.5533	0.766
0.5613	0.767
0.5631	0.768
0.5754	0.769
0.5926	0.77
0.6077	0.771
0.6124	0.772
0.6284	0.773
0.6311	0.774
0.6351	0.775
0.6366	0.776
0.637	0.777
0.6464	0.778
0.6642	0.779
0.66883	0.78
0.6712	0.781
0.6757	0.782
0.6759	0.783
0.6789	0.784
0.679	0.785
0.6797	0.786
0.6812	0.787
0.6896	0.788
0.71803	0.789
0.7193	0.79
0.71967	0.791
0.7267	0.792
0.7306	0.793
0.73404	0.794
0.7396	0.795
0.74048	0.796
0.7408	0.797
0.7418	0.798
0.7458	0.799
0.7637	0.8
0.7723	0.801
0.7773	0.802
0.7777	0.803
0.7841	0.804
0.7889	0.805
0.79	0.806
0.8069	0.807
0.8087	0.808
0.81079	0.809
0.827	0.81
0.8313	0.811
0.8373	0.812
0.8399	0.813
0.8419	0.814
0.8542	0.815
0.8604	0.816
0.8615	0.817
0.8752	0.818
0.8766	0.819
0.8897	0.82
0.8918	0.821
0.8919	0.822
0.903	0.823
0.9144	0.824
0.9163	0.825
0.9251	0.826
0.9276	0.827
0.9302	0.828
0.9366	0.829
0.938739	0.83
0.9406	0.831
0.9423	0.832
0.9449	0.833
0.95306	0.834
0.9543	0.835
0.9567	0.836
0.9654	0.837
0.9656	0.838
0.975	0.839
0.9766	0.84
0.9867	0.841
0.9913	0.842
0.99223	0.843
0.9933	0.844
0.9934	0.845
0.9946	0.846
0.99916	0.847
1.0011	0.848
1.0018	0.849
1.0037	0.85
1.0062	0.851
1.0071	0.852
1.0084	0.853
1.0099	0.854
1.0115	0.855
1.0183	0.856
1.0225	0.857
1.0236	0.858
1.0237	0.859
1.0251	0.86
1.032	0.861
1.036	0.862
1.0381	0.863
1.0407	0.864
1.0412	0.865
1.042	0.866
1.0465	0.867
1.0477	0.868
1.0488	0.869
1.05465	0.87
1.0553	0.871
1.0577	0.872
1.0645	0.873
1.0692	0.874
1.0737	0.875
1.07397	0.876
1.0764	0.877
1.0766	0.878
1.0775	0.879
1.0877	0.88
1.0892	0.881
1.0929	0.882
1.0972	0.883
1.0987	0.884
1.0988	0.885
1.10014	0.886
1.1031	0.887
1.1056	0.888
1.1094	0.889
1.11871	0.89
1.1218	0.891
1.1274	0.892
1.1278	0.893
1.1299	0.894
1.13234	0.895
1.13328	0.896
1.1368	0.897
1.1384	0.898
1.1422	0.899
1.1448	0.9
1.1455	0.901
1.1474	0.902
1.1577	0.903
1.1597	0.905
1.1667	0.906
1.1731	0.907
1.1744	0.908
