Time	Node	AppId	Name	SeqNo	Type	RetxCount	WinSize	MaxWinSize	LifeTime
0	C	1	/prefix/%00%01	1	C_Interest	0	4	5	5
0	C	1	/prefix/%00%02	2	C_Interest	0	3	5	5
0	C	1	/prefix/%00%03	3	C_Interest	0	2	5	5
0	C	1	/prefix/%00%04	4	C_Interest	0	1	5	5
0	C	1	/prefix/%00%05	5	C_Interest	0	0	5	5
0	P	1	/prefix/%00%01	1	P_GData	0	0	0	0
0.00148184	P	1	/prefix/%00%02	2	P_GData	0	0	0	0
0.10901	P	1	/prefix/%00%03	3	P_GData	0	0	0	0
0.150009	P	1	/prefix/%00%01	1	P_Interest	0	0	0	0
0.150009	P	1	/prefix/%00%01	1	P_Data	0	0	0	0
0.150012	P	1	/prefix/%00%02	2	P_Interest	0	0	0	0
0.150012	P	1	/prefix/%00%02	2	P_Data	0	0	0	0
0.300265	C	1	/prefix/%00%01	1	C_Data	0	0	5	5
0.300265	C	1	/prefix/%00%06	6	C_Interest	0	0	5	5
0.30035	C	1	/prefix/%00%02	2	C_Data	0	0	5	5
0.30035	C	1	/prefix/%00%07	7	C_Interest	0	0	5	5
0.313973	P	1	/prefix/%00%04	4	P_GData	0	0	0	0
0.450274	P	1	/prefix/%00%06	6	P_Interest	0	0	0	0
0.450359	P	1	/prefix/%00%07	7	P_Interest	0	0	0	0
0.561626	P	1	/prefix/%00%05	5	P_GData	0	0	0	0
0.57961	P	1	/prefix/%00%06	6	P_GData	0	0	0	0
0.774208	P	1	/prefix/%00%07	7	P_GData	0	0	0	0
0.854655	P	1	/prefix/%00%08	8	P_GData	0	0	0	0
0.94864	P	1	/prefix/%00%09	9	P_GData	0	0	0	0
1.05086	P	1	/prefix/%00%0A	10	P_GData	0	0	0	0
1.14098	P	1	/prefix/%00%0B	11	P_GData	0	0	0	0
1.23541	P	1	/prefix/%00%0C	12	P_GData	0	0	0	0
1.33111	P	1	/prefix/%00%0D	13	P_GData	0	0	0	0
1.33664	P	1	/prefix/%00%0E	14	P_GData	0	0	0	0
1.46114	P	1	/prefix/%00%0F	15	P_GData	0	0	0	0
1.47273	P	1	/prefix/%00%10	16	P_GData	0	0	0	0
1.52089	P	1	/prefix/%00%11	17	P_GData	0	0	0	0
1.5609	P	1	/prefix/%00%12	18	P_GData	0	0	0	0
1.7758	P	1	/prefix/%00%13	19	P_GData	0	0	0	0
1.80471	P	1	/prefix/%00%14	20	P_GData	0	0	0	0
1.82653	P	1	/prefix/%00%15	21	P_GData	0	0	0	0
1.89263	P	1	/prefix/%00%16	22	P_GData	0	0	0	0
1.8994	P	1	/prefix/%00%17	23	P_GData	0	0	0	0
1.9154	P	1	/prefix/%00%18	24	P_GData	0	0	0	0
2.05398	P	1	/prefix/%00%19	25	P_GData	0	0	0	0
2.06827	P	1	/prefix/%00%1A	26	P_GData	0	0	0	0
2.08645	P	1	/prefix/%00%1B	27	P_GData	0	0	0	0
2.54784	P	1	/prefix/%00%1C	28	P_GData	0	0	0	0
