Time	Node	AppId	Name	SeqNo	Type	RetxCount	WinSize	MaxWinSize	LifeTime
0	C	1	/prefix/%00%01	1	C_Interest	0	4	5	2
0	C	1	/prefix/%00%02	2	C_Interest	0	3	5	2
0	C	1	/prefix/%00%03	3	C_Interest	0	2	5	2
0	C	1	/prefix/%00%04	4	C_Interest	0	1	5	2
0	C	1	/prefix/%00%05	5	C_Interest	0	0	5	2
0	P	1	/prefix/%00%01	1	P_GData	0	0	0	0
0.0180144	P	1	/prefix/%00%02	2	P_GData	0	0	0	0
0.0822284	P	1	/prefix/%00%03	3	P_GData	0	0	0	0
0.150079	P	1	/prefix/%00%01	1	P_Interest	0	0	0	0
0.150079	P	1	/prefix/%00%01	1	P_Data	0	0	0	0
0.150106	P	1	/prefix/%00%02	2	P_Interest	0	0	0	0
0.150106	P	1	/prefix/%00%02	2	P_Data	0	0	0	0
0.150132	P	1	/prefix/%00%03	3	P_Interest	0	0	0	0
0.150132	P	1	/prefix/%00%03	3	P_Data	0	0	0	0
0.150158	P	1	/prefix/%00%04	4	P_Interest	0	0	0	0
0.150185	P	1	/prefix/%00%05	5	P_Interest	0	0	0	0
0.171098	P	1	/prefix/%00%04	4	P_GData	0	0	0	0
0.30263	C	1	/prefix/%00%01	1	C_Data	0	0	5	2
0.30263	C	1	/prefix/%00%06	6	C_Interest	0	0	5	2
0.303481	C	1	/prefix/%00%02	2	C_Data	0	0	5	2
0.303481	C	1	/prefix/%00%07	7	C_Interest	0	0	5	2
0.304331	C	1	/prefix/%00%03	3	C_Data	0	0	5	2
0.304331	C	1	/prefix/%00%08	8	C_Interest	0	0	5	2
0.45271	P	1	/prefix/%00%06	6	P_Interest	0	0	0	0
0.45356	P	1	/prefix/%00%07	7	P_Interest	0	0	0	0
0.45441	P	1	/prefix/%00%08	8	P_Interest	0	0	0	0
0.5	C	1	/prefix/%00%04	4	C_Interest	1	0	5	2
0.5	C	1	/prefix/%00%05	5	C_Interest	1	0	5	2
0.582853	P	1	/prefix/%00%05	5	P_GData	0	0	0	0
0.650079	P	1	/prefix/%00%04	4	P_Interest	0	0	0	0
0.650079	P	1	/prefix/%00%04	4	P_Data	0	0	0	0
0.650106	P	1	/prefix/%00%05	5	P_Interest	0	0	0	0
0.650106	P	1	/prefix/%00%05	5	P_Data	0	0	0	0
0.664886	P	1	/prefix/%00%06	6	P_GData	0	0	0	0
0.673462	P	1	/prefix/%00%07	7	P_GData	0	0	0	0
0.719256	P	1	/prefix/%00%08	8	P_GData	0	0	0	0
0.766627	P	1	/prefix/%00%09	9	P_GData	0	0	0	0
0.80263	C	1	/prefix/%00%06	6	C_Interest	1	0	5	2
0.80263	C	1	/prefix/%00%04	4	C_Data	1	0	5	2
0.80263	C	1	/prefix/%00%09	9	C_Interest	0	0	5	2
0.803481	C	1	/prefix/%00%07	7	C_Interest	1	0	5	2
0.803481	C	1	/prefix/%00%05	5	C_Data	1	0	5	2
0.803481	C	1	/prefix/%00%0A	10	C_Interest	0	0	5	2
0.804331	C	1	/prefix/%00%08	8	C_Interest	1	0	5	2
0.896415	P	1	/prefix/%00%0A	10	P_GData	0	0	0	0
0.95271	P	1	/prefix/%00%06	6	P_Interest	0	0	0	0
0.95271	P	1	/prefix/%00%06	6	P_Data	0	0	0	0
0.952736	P	1	/prefix/%00%09	9	P_Interest	0	0	0	0
0.952736	P	1	/prefix/%00%09	9	P_Data	0	0	0	0
0.95356	P	1	/prefix/%00%07	7	P_Interest	0	0	0	0
0.95356	P	1	/prefix/%00%07	7	P_Data	0	0	0	0
0.953586	P	1	/prefix/%00%0A	10	P_Interest	0	0	0	0
0.953586	P	1	/prefix/%00%0A	10	P_Data	0	0	0	0
0.95441	P	1	/prefix/%00%08	8	P_Interest	0	0	0	0
0.95441	P	1	/prefix/%00%08	8	P_Data	0	0	0	0
1.10526	C	1	/prefix/%00%06	6	C_Data	1	0	5	2
1.10526	C	1	/prefix/%00%0B	11	C_Interest	0	0	5	2
1.10611	C	1	/prefix/%00%09	9	C_Data	0	0	5	2
1.10611	C	1	/prefix/%00%0C	12	C_Interest	0	0	5	2
1.10696	C	1	/prefix/%00%07	7	C_Data	1	0	5	2
1.10696	C	1	/prefix/%00%0D	13	C_Interest	0	0	5	2
1.10781	C	1	/prefix/%00%0A	10	C_Data	0	0	5	2
1.10781	C	1	/prefix/%00%0E	14	C_Interest	0	0	5	2
1.10834	P	1	/prefix/%00%0B	11	P_GData	0	0	0	0
1.10866	C	1	/prefix/%00%08	8	C_Data	1	0	5	2
1.10866	C	1	/prefix/%00%0F	15	C_Interest	0	0	5	2
1.12853	P	1	/prefix/%00%0C	12	P_GData	0	0	0	0
1.17553	P	1	/prefix/%00%0D	13	P_GData	0	0	0	0
1.19117	P	1	/prefix/%00%0E	14	P_GData	0	0	0	0
1.25534	P	1	/prefix/%00%0B	11	P_Interest	0	0	0	0
1.25534	P	1	/prefix/%00%0B	11	P_Data	0	0	0	0
1.25619	P	1	/prefix/%00%0C	12	P_Interest	0	0	0	0
1.25619	P	1	/prefix/%00%0C	12	P_Data	0	0	0	0
1.25704	P	1	/prefix/%00%0D	13	P_Interest	0	0	0	0
1.25704	P	1	/prefix/%00%0D	13	P_Data	0	0	0	0
1.25789	P	1	/prefix/%00%0E	14	P_Interest	0	0	0	0
1.25789	P	1	/prefix/%00%0E	14	P_Data	0	0	0	0
1.25874	P	1	/prefix/%00%0F	15	P_Interest	0	0	0	0
1.27039	P	1	/prefix/%00%0F	15	P_GData	0	0	0	0
1.30857	P	1	/prefix/%00%10	16	P_GData	0	0	0	0
1.35952	P	1	/prefix/%00%11	17	P_GData	0	0	0	0
1.40378	P	1	/prefix/%00%12	18	P_GData	0	0	0	0
1.40558	P	1	/prefix/%00%13	19	P_GData	0	0	0	0
1.40789	C	1	/prefix/%00%0B	11	C_Data	0	0	5	2
1.40789	C	1	/prefix/%00%10	16	C_Interest	0	0	5	2
1.40874	C	1	/prefix/%00%0C	12	C_Data	0	0	5	2
1.40874	C	1	/prefix/%00%11	17	C_Interest	0	0	5	2
1.40959	C	1	/prefix/%00%0D	13	C_Data	0	0	5	2
1.40959	C	1	/prefix/%00%12	18	C_Interest	0	0	5	2
1.41044	C	1	/prefix/%00%0E	14	C_Data	0	0	5	2
1.41044	C	1	/prefix/%00%13	19	C_Interest	0	0	5	2
1.42716	P	1	/prefix/%00%14	20	P_GData	0	0	0	0
1.48169	P	1	/prefix/%00%15	21	P_GData	0	0	0	0
1.48709	P	1	/prefix/%00%16	22	P_GData	0	0	0	0
1.53562	P	1	/prefix/%00%17	23	P_GData	0	0	0	0
1.55797	P	1	/prefix/%00%10	16	P_Interest	0	0	0	0
1.55797	P	1	/prefix/%00%10	16	P_Data	0	0	0	0
1.55882	P	1	/prefix/%00%11	17	P_Interest	0	0	0	0
1.55882	P	1	/prefix/%00%11	17	P_Data	0	0	0	0
1.55967	P	1	/prefix/%00%12	18	P_Interest	0	0	0	0
1.55967	P	1	/prefix/%00%12	18	P_Data	0	0	0	0
1.56052	P	1	/prefix/%00%13	19	P_Interest	0	0	0	0
1.56052	P	1	/prefix/%00%13	19	P_Data	0	0	0	0
1.60866	C	1	/prefix/%00%0F	15	C_Interest	1	0	5	2
1.70263	P	1	/prefix/%00%18	24	P_GData	0	0	0	0
1.71052	C	1	/prefix/%00%10	16	C_Data	0	0	5	2
1.71052	C	1	/prefix/%00%14	20	C_Interest	0	0	5	2
1.71137	C	1	/prefix/%00%11	17	C_Data	0	0	5	2
1.71137	C	1	/prefix/%00%15	21	C_Interest	0	0	5	2
1.71222	C	1	/prefix/%00%12	18	C_Data	0	0	5	2
1.71222	C	1	/prefix/%00%16	22	C_Interest	0	0	5	2
1.71258	P	1	/prefix/%00%19	25	P_GData	0	0	0	0
1.71307	C	1	/prefix/%00%13	19	C_Data	0	0	5	2
1.71307	C	1	/prefix/%00%17	23	C_Interest	0	0	5	2
1.75874	P	1	/prefix/%00%0F	15	P_Interest	0	0	0	0
1.75874	P	1	/prefix/%00%0F	15	P_Data	0	0	0	0
1.8606	P	1	/prefix/%00%14	20	P_Interest	0	0	0	0
1.8606	P	1	/prefix/%00%14	20	P_Data	0	0	0	0
1.86145	P	1	/prefix/%00%15	21	P_Interest	0	0	0	0
1.86145	P	1	/prefix/%00%15	21	P_Data	0	0	0	0
1.8623	P	1	/prefix/%00%16	22	P_Interest	0	0	0	0
1.8623	P	1	/prefix/%00%16	22	P_Data	0	0	0	0
1.86315	P	1	/prefix/%00%17	23	P_Interest	0	0	0	0
1.86315	P	1	/prefix/%00%17	23	P_Data	0	0	0	0
1.91129	C	1	/prefix/%00%0F	15	C_Data	1	0	5	2
1.91129	C	1	/prefix/%00%18	24	C_Interest	0	0	5	2
2.01315	C	1	/prefix/%00%14	20	C_Data	0	0	5	2
2.01315	C	1	/prefix/%00%19	25	C_Interest	0	0	5	2
2.014	C	1	/prefix/%00%15	21	C_Data	0	0	5	2
2.014	C	1	/prefix/%00%1A	26	C_Interest	0	0	5	2
2.01485	C	1	/prefix/%00%16	22	C_Data	0	0	5	2
2.01485	C	1	/prefix/%00%1B	27	C_Interest	0	0	5	2
2.0157	C	1	/prefix/%00%17	23	C_Data	0	0	5	2
2.0157	C	1	/prefix/%00%1C	28	C_Interest	0	0	5	2
2.06137	P	1	/prefix/%00%18	24	P_Interest	0	0	0	0
2.06137	P	1	/prefix/%00%18	24	P_Data	0	0	0	0
2.08869	P	1	/prefix/%00%1A	26	P_GData	0	0	0	0
2.13899	P	1	/prefix/%00%1B	27	P_GData	0	0	0	0
2.16323	P	1	/prefix/%00%19	25	P_Interest	0	0	0	0
2.16323	P	1	/prefix/%00%19	25	P_Data	0	0	0	0
