Time	Node	AppId	Name	SeqNo	Type	RetxCount	WinSize	MaxWinSize	LifeTime
0	C	1	/prefix/%00%01	1	C_Interest	0	0	1	2
0.150079	P	1	/prefix/%00%01	1	P_Pull_Interest	0	0	0	2
0.5	C	1	/prefix/%00%01	1	C_Interest	1	0	1	2
0.5	P	1	/prefix/%00%01	1	P_GData	0	0	0	0
0.650079	P	1	/prefix/%00%01	1	P_Pull_Interest	0	0	0	2
0.650079	P	1	/prefix/%00%01	1	P_Pull_Data	0	0	0	0
0.800341	C	1	/prefix/%00%01	1	C_Data	1	0	1	2
0.800341	C	1	/prefix/%00%02	2	C_Interest	0	0	1	2
0.95042	P	1	/prefix/%00%02	2	P_Pull_Interest	0	0	0	2
1	P	1	/prefix/%00%02	2	P_GData	0	0	0	0
1.1	P	1	/prefix/%00%03	3	P_GData	0	0	0	0
1.11	P	1	/prefix/%00%04	4	P_GData	0	0	0	0
1.30034	C	1	/prefix/%00%02	2	C_Interest	1	0	1	2
1.45042	P	1	/prefix/%00%02	2	P_Pull_Interest	0	0	0	2
1.45042	P	1	/prefix/%00%02	2	P_Pull_Data	0	0	0	0
1.5	P	1	/prefix/%00%05	5	P_GData	0	0	0	0
1.6	P	1	/prefix/%00%06	6	P_GData	0	0	0	0
1.60267	C	1	/prefix/%00%02	2	C_Data	1	0	1	2
1.60267	C	1	/prefix/%00%03	3	C_Interest	0	0	1	2
1.666	P	1	/prefix/%00%07	7	P_GData	0	0	0	0
1.75275	P	1	/prefix/%00%03	3	P_Pull_Interest	0	0	0	2
1.75275	P	1	/prefix/%00%03	3	P_Pull_Data	0	0	0	0
1.90525	C	1	/prefix/%00%03	3	C_Data	0	0	1	2
1.90525	C	1	/prefix/%00%04	4	C_Interest	0	0	1	2
2	P	1	/prefix/%00%08	8	P_GData	0	0	0	0
2.05533	P	1	/prefix/%00%04	4	P_Pull_Interest	0	0	0	2
2.05533	P	1	/prefix/%00%04	4	P_Pull_Data	0	0	0	0
2.2	P	1	/prefix/%00%09	9	P_GData	0	0	0	0
2.203	P	1	/prefix/%00%0A	10	P_GData	0	0	0	0
2.204	P	1	/prefix/%00%0B	11	P_GData	0	0	0	0
2.205	P	1	/prefix/%00%0C	12	P_GData	0	0	0	0
2.206	P	1	/prefix/%00%0D	13	P_GData	0	0	0	0
2.207	P	1	/prefix/%00%0E	14	P_GData	0	0	0	0
2.20788	C	1	/prefix/%00%04	4	C_Data	0	0	1	2
2.20788	C	1	/prefix/%00%05	5	C_Interest	0	0	1	2
2.35796	P	1	/prefix/%00%05	5	P_Pull_Interest	0	0	0	2
2.35796	P	1	/prefix/%00%05	5	P_Pull_Data	0	0	0	0
2.50925	C	1	/prefix/%00%05	5	C_Data	0	0	1	2
2.50925	C	1	/prefix/%00%06	6	C_Interest	0	0	1	2
2.65933	P	1	/prefix/%00%06	6	P_Pull_Interest	0	0	0	2
2.65933	P	1	/prefix/%00%06	6	P_Pull_Data	0	0	0	0
2.81062	C	1	/prefix/%00%06	6	C_Data	0	0	1	2
2.81062	C	1	/prefix/%00%07	7	C_Interest	0	0	1	2
2.9607	P	1	/prefix/%00%07	7	P_Pull_Interest	0	0	0	2
2.9607	P	1	/prefix/%00%07	7	P_Pull_Data	0	0	0	0
3	P	1	/prefix/%00%0F	15	P_GData	0	0	0	0
3.112	C	1	/prefix/%00%07	7	C_Data	0	0	1	2
3.112	C	1	/prefix/%00%08	8	C_Interest	0	0	1	2
3.26207	P	1	/prefix/%00%08	8	P_Pull_Interest	0	0	0	2
3.26207	P	1	/prefix/%00%08	8	P_Pull_Data	0	0	0	0
3.41361	C	1	/prefix/%00%08	8	C_Data	0	0	1	2
3.41361	C	1	/prefix/%00%09	9	C_Interest	0	0	1	2
3.56369	P	1	/prefix/%00%09	9	P_Pull_Interest	0	0	0	2
3.56369	P	1	/prefix/%00%09	9	P_Pull_Data	0	0	0	0
3.71522	C	1	/prefix/%00%09	9	C_Data	0	0	1	2
3.71522	C	1	/prefix/%00%0A	10	C_Interest	0	0	1	2
3.8653	P	1	/prefix/%00%0A	10	P_Pull_Interest	0	0	0	2
3.8653	P	1	/prefix/%00%0A	10	P_Pull_Data	0	0	0	0
4	P	1	/prefix/%00%10	16	P_GData	0	0	0	0
4.01683	C	1	/prefix/%00%0A	10	C_Data	0	0	1	2
4.01683	C	1	/prefix/%00%0B	11	C_Interest	0	0	1	2
4.16691	P	1	/prefix/%00%0B	11	P_Pull_Interest	0	0	0	2
4.16691	P	1	/prefix/%00%0B	11	P_Pull_Data	0	0	0	0
4.31917	C	1	/prefix/%00%0B	11	C_Data	0	0	1	2
4.31917	C	1	/prefix/%00%0C	12	C_Interest	0	0	1	2
4.46925	P	1	/prefix/%00%0C	12	P_Pull_Interest	0	0	0	2
4.46925	P	1	/prefix/%00%0C	12	P_Pull_Data	0	0	0	0
4.6215	C	1	/prefix/%00%0C	12	C_Data	0	0	1	2
4.6215	C	1	/prefix/%00%0D	13	C_Interest	0	0	1	2
4.77158	P	1	/prefix/%00%0D	13	P_Pull_Interest	0	0	0	2
4.77158	P	1	/prefix/%00%0D	13	P_Pull_Data	0	0	0	0
4.92383	C	1	/prefix/%00%0D	13	C_Data	0	0	1	2
4.92383	C	1	/prefix/%00%0E	14	C_Interest	0	0	1	2
5.07391	P	1	/prefix/%00%0E	14	P_Pull_Interest	0	0	0	2
5.07391	P	1	/prefix/%00%0E	14	P_Pull_Data	0	0	0	0
