Time	Node	AppId	Name	SeqNo	Type	RetxCount	WinSize	MaxWinSize	LifeTime
0	C	1	/prefix	0	C_Sync_Interest	0	0	0	60
0	P	1	/prefix/%00%01	1	P_GData	0	0	0	0
0.150008	P	1	/prefix	1	P_Sync_Ack	0	0	0	0
0.150008	P	1	/prefix	0	P_Sync_Interest	0	0	0	60
0.300017	C	1	/prefix	1	C_Sync_Ack	0	0	0	60
0.300017	C	1	/prefix/%00%01	1	C_Pull_Interest	0	0	0	60
0.450026	P	1	/prefix/%00%01	1	P_Pull_Interest	0	0	0	60
0.450026	P	1	/prefix/%00%01	1	P_Pull_Data	0	0	0	0
0.60005	C	1	/prefix/%00%01	1	C_Data	0	0	0	60
15	P	1	/prefix/%00%02	2	P_GData	0	0	0	0
40	C	1	/prefix	1	C_Sync_Interest	0	0	0	60
40.15	P	1	/prefix	2	P_Sync_Ack	0	0	0	0
40.15	P	1	/prefix	1	P_Sync_Interest	0	0	0	60
40.3	C	1	/prefix	2	C_Sync_Ack	0	0	0	60
40.3	C	1	/prefix/%00%02	2	C_Pull_Interest	0	0	0	60
40.45	P	1	/prefix/%00%02	2	P_Pull_Interest	0	0	0	60
40.45	P	1	/prefix/%00%02	2	P_Pull_Data	0	0	0	0
40.6	C	1	/prefix/%00%02	2	C_Data	0	0	0	60
80	C	1	/prefix	2	C_Sync_Interest	0	0	0	60
80.15	P	1	/prefix	2	P_Sync_Ack	0	0	0	0
80.15	P	1	/prefix	2	P_Sync_Interest	0	0	0	60
80.3	C	1	/prefix	2	C_Sync_Ack	0	0	0	60
120	C	1	/prefix	2	C_Sync_Interest	0	0	0	60
120.15	P	1	/prefix	2	P_Sync_Ack	0	0	0	0
120.15	P	1	/prefix	2	P_Sync_Interest	0	0	0	60
120.3	C	1	/prefix	2	C_Sync_Ack	0	0	0	60
160	C	1	/prefix	2	C_Sync_Interest	0	0	0	60
160.15	P	1	/prefix	2	P_Sync_Ack	0	0	0	0
160.15	P	1	/prefix	2	P_Sync_Interest	0	0	0	60
160.3	C	1	/prefix	2	C_Sync_Ack	0	0	0	60
183	P	1	/prefix/%00%03	3	P_GData	0	0	0	0
185	P	1	/prefix/%00%04	4	P_GData	0	0	0	0
200	C	1	/prefix	2	C_Sync_Interest	0	0	0	60
200.15	P	1	/prefix	4	P_Sync_Ack	0	0	0	0
200.15	P	1	/prefix	2	P_Sync_Interest	0	0	0	60
200.3	C	1	/prefix	4	C_Sync_Ack	0	0	0	60
200.3	C	1	/prefix/%00%03	3	C_Pull_Interest	0	0	0	60
200.3	C	1	/prefix/%00%04	4	C_Pull_Interest	0	0	0	60
200.45	P	1	/prefix/%00%03	3	P_Pull_Interest	0	0	0	60
200.45	P	1	/prefix/%00%03	3	P_Pull_Data	0	0	0	0
200.45	P	1	/prefix/%00%04	4	P_Pull_Interest	0	0	0	60
200.45	P	1	/prefix/%00%04	4	P_Pull_Data	0	0	0	0
200.6	C	1	/prefix/%00%03	3	C_Data	0	0	0	60
200.6	C	1	/prefix/%00%04	4	C_Data	0	0	0	60
202	P	1	/prefix/%00%05	5	P_GData	0	0	0	0
204	P	1	/prefix/%00%06	6	P_GData	0	0	0	0
207	P	1	/prefix/%00%07	7	P_GData	0	0	0	0
229	P	1	/prefix/%00%08	8	P_GData	0	0	0	0
232	P	1	/prefix/%00%09	9	P_GData	0	0	0	0
240	C	1	/prefix	4	C_Sync_Interest	0	0	0	60
240.15	P	1	/prefix	9	P_Sync_Ack	0	0	0	0
240.15	P	1	/prefix	4	P_Sync_Interest	0	0	0	60
240.3	C	1	/prefix	9	C_Sync_Ack	0	0	0	60
240.3	C	1	/prefix/%00%05	5	C_Pull_Interest	0	0	0	60
240.3	C	1	/prefix/%00%06	6	C_Pull_Interest	0	0	0	60
240.3	C	1	/prefix/%00%07	7	C_Pull_Interest	0	0	0	60
240.3	C	1	/prefix/%00%08	8	C_Pull_Interest	0	0	0	60
240.3	C	1	/prefix/%00%09	9	C_Pull_Interest	0	0	0	60
240.45	P	1	/prefix/%00%05	5	P_Pull_Interest	0	0	0	60
240.45	P	1	/prefix/%00%05	5	P_Pull_Data	0	0	0	0
240.45	P	1	/prefix/%00%06	6	P_Pull_Interest	0	0	0	60
240.45	P	1	/prefix/%00%06	6	P_Pull_Data	0	0	0	0
240.45	P	1	/prefix/%00%07	7	P_Pull_Interest	0	0	0	60
240.45	P	1	/prefix/%00%07	7	P_Pull_Data	0	0	0	0
240.45	P	1	/prefix/%00%08	8	P_Pull_Interest	0	0	0	60
240.45	P	1	/prefix/%00%08	8	P_Pull_Data	0	0	0	0
240.45	P	1	/prefix/%00%09	9	P_Pull_Interest	0	0	0	60
240.45	P	1	/prefix/%00%09	9	P_Pull_Data	0	0	0	0
240.6	C	1	/prefix/%00%05	5	C_Data	0	0	0	60
240.6	C	1	/prefix/%00%06	6	C_Data	0	0	0	60
