time	size
0	56
15	2
183	22
185	24
202	26
204	29
207	20
229	26
232	17
365	22
369	28
370	17
545	18
547	26
645	17
662	23
663	17
698	19
699	28
1071	29
1073	19
1074	23
1076	21
1079	20
1080	29
1211	26
1288	22
1372	367
1433	26
1435	23
1450	225
1493	2
1497	33
1500	22
1506	35
1652	25
1684	23
1771	23
1772	21
1849	795
1924	26
2052	25
2142	23
2177	20
2225	19
2259	35
2260	28
2262	26
2281	25
2282	20
2302	22
2304	19
2317	81
2325	47
2347	23
2348	26
2351	20
2366	27
2368	637
2400	26
2450	32
2453	29
2480	20
2514	26
2515	28
2548	25
2564	29
2570	27
2576	20
2681	32
2683	26
2684	20
2713	24
2750	35
2802	26
2819	23
2859	892
2931	107
2941	26
2994	32
3047	23
3050	26
3069	30
3072	19
3073	23
3074	19
3079	26
3092	28
3104	20
3130	920
3169	26
3201	29
3202	26
3217	23
3254	17
3260	32
3268	19
3283	20
3308	20
3389	38
3485	20
3529	26
3532	21
3534	31
3542	25
3549	22
3550	20
3551	20
3552	26
3553	18
3555	29
3557	20
3560	32
3568	26
3570	23
3571	20
3595	20
3600	26
3744	26
3746	20
3749	26
3830	27
3832	24
3839	35
3869	32
3913	32
4087	17
4117	20
4160	17
4265	29
4288	26
4292	20
4296	19
4386	26
4474	20
4475	28
4477	26
4492	86
4500	24
4502	21
4538	23
4605	20
4609	20
4617	23
4656	26
4658	17
4671	23
4676	20
4689	23
4691	22
4706	18
4707	23
4834	35
4836	26
4837	19
4842	23
4885	19
4886	20
4902	21
4909	23
4911	20
4913	20
4917	23
4920	23
4934	23
4940	21
4981	47
4994	26
4997	23
4998	21
5005	20
5014	22
5041	23
5061	29
5147	23
5149	26
5153	29
5154	29
5156	26
5157	22
5173	27
5189	20
5205	23
5243	26
5246	19
5249	23
5328	20
5352	20
5413	23
5415	172
5473	25
5506	17
5508	23
5531	20
5544	26
5572	23
5584	23
5598	30
5614	2
5656	17
5665	29
5669	1030
5730	23
5757	20
5771	20
5783	21
5812	20
5817	20
5826	19
5828	26
5832	24
5843	20
5847	16
5856	18
5897	22
5899	21
5925	20
5927	30
6007	20
6009	20
6029	23
6031	1033
6055	26
6057	21
6095	20
6098	21
6099	20
6133	1080
6175	20
6178	20
6248	20
6249	23
6451	20
6454	18
6464	17
6477	22
6481	17
6530	20
6531	22
6658	16
6659	20
6666	18
6668	23
6681	20
6736	32
6767	32
6768	32
6778	56
6786	47
6790	77
6792	13
6798	32
6799	14
6815	174
6816	30
6822	29
6825	23
6836	41
6839	14
6840	89
6841	81
6845	8
6846	10
6850	110
6860	37
6865	268
6866	110
6868	49
6886	92
6901	44
6903	17
6910	5
6913	47
6914	23
6915	35
6916	10
6917	18
6919	26
6921	44
6924	44
6927	17
6929	18
6931	21
6933	73
6937	55
6942	35
6958	41
6960	68
6987	24
7011	41
7012	29
7034	5
7036	8
7038	8
7039	17
7045	20
7048	41
7058	29
7062	20
7066	16
